# Courtesy of Pierre Ailliot, from http://mespages.univ-brest.fr/~ailliot/doc_cours/L3EURIA/AD/data_temp.txt
# Course available at: http://pagesperso.univ-brest.fr/~ailliot/doc_cours/L3EURIA/AD/temperature.html

,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Angouleme,4.2,4.9,7.9,10.4,13.6,17,18.7,18.4,16.1,11.7,7.6,4.9
Angers,4.6,5.4,8.9,11.3,14.5,17.2,19.5,19.4,16.9,12.5,8.1,5.3
Besancon,1.1,2.2,6.4,9.7,13.6,16.9,18.7,18.3,15.5,10.4,5.7,2
Biarritz,7.6,8,10.8,12,14.7,17.8,19.7,19.9,18.5,14.8,10.9,8.2
Bordeaux,5.6,6.6,10.3,12.8,15.8,19.3,20.9,21,18.6,13.8,9.1,6.2
Brest,6.1,5.8,7.8,9.2,11.6,14.4,15.6,16,14.7,12,9,7
Cler-Ferr,2.6,3.7,7.5,10.3,13.8,17.3,19.4,19.1,16.2,11.2,6.6,3.6
Dijon,1.3,2.6,6.9,10.4,14.3,17.7,19.6,19,15.9,10.5,5.7,2.1
Grenoble,1.5,3.2,7.7,10.6,14.5,17.8,20.1,19.5,16.7,11.4,6.5,2.3
Lille,2.4,2.9,6,8.9,12.4,15.3,17.1,17.1,14.7,10.4,6.1,3.5
Limoges,3.1,3.9,7.4,9.9,13.3,16.8,18.4,17.8,15.3,10.7,6.7,3.8
Lyon,2.1,3.3,7.7,10.9,14.9,18.5,20.7,20.1,16.9,11.4,6.7,3.1
Marseille,5.5,6.6,10,13,16.8,20.8,23.3,22.8,19.9,15,10.2,6.9
Montpellier,5.6,6.7,9.9,12.8,16.2,20.1,22.7,22.3,19.3,14.6,10,6.5
Nancy,0.8,1.6,5.5,9.2,13.3,16.5,18.3,17.7,14.7,9.4,5.2,1.8
Nantes,5,5.3,8.4,10.8,13.9,17.2,18.8,18.6,16.4,12.2,8.2,5.5
Nice,7.5,8.5,10.8,13.3,16.7,20.1,22.7,22.5,20.3,16,11.5,8.2
Nimes,5.7,6.8,10.1,13,16.6,20.8,23.6,22.9,19.7,14.6,9.8,6.5
Orleans,2.7,3.6,6.9,9.8,13.4,16.6,18.4,18.2,15.6,10.9,6.6,3.6
Paris,3.4,4.1,7.6,10.7,14.3,17.5,19.1,18.7,16,11.4,7.1,4.3
Perpignan,7.5,8.4,11.3,13.9,17.1,21.1,23.8,23.3,20.5,15.9,11.5,8.6
Reims,1.9,2.8,6.2,9.4,13.3,16.4,18.3,17.9,15.1,10.3,6.1,3
Rennes,4.8,5.3,7.9,10.1,13.1,16.2,17.9,17.8,15.7,11.6,7.8,5.4
Rouen,3.4,3.9,6.8,9.5,12.9,15.7,17.6,17.2,15,11,6.8,4.3
St-Quent,2,2.9,6.3,9.2,12.7,15.6,17.4,17.4,15,10.5,6.1,3.1
Strasbourg,0.4,1.5,5.6,9.8,14,17.2,19,18.3,15.1,9.5,4.9,1.3
Toulon,8.6,9.1,11.2,13.4,16.6,20.2,22.6,22.4,20.5,16.5,12.6,9.7
Toulouse,4.7,5.6,9.2,11.6,14.9,18.7,20.9,20.9,18.3,13.3,8.6,5.5
Tours,3.5,4.4,7.7,10.6,13.9,17.4,19.1,18.7,16.2,11.7,7.2,4.3
Vichy,2.4,3.4,7.1,9.9,13.6,17.1,19.3,18.8,16,11,6.6,3.4
